account_id,device_id
ACC000001,DEV000001
ACC000002,DEV000002
ACC000003,DEV000003
ACC000004,DEV000004
ACC000005,DEV000005
ACC000006,DEV000006
ACC000007,DEV000007
ACC000008,DEV000008
ACC000009,DEV000009
ACC000010,DEV000010
ACC000011,DEV000011
ACC000012,DEV000012
ACC000013,DEV000013
ACC000014,DEV000014
ACC000015,DEV000015
ACC000016,DEV000016
ACC000017,DEV000017
ACC000018,DEV000018
ACC000019,DEV000019
ACC000020,DEV000020
ACC000021,DEV000021
ACC000022,DEV000022
ACC000023,DEV000023
ACC000024,DEV000024
ACC000025,DEV000025
ACC000026,DEV000026
ACC000027,DEV000027
ACC000028,DEV000028
ACC000029,DEV000029
ACC000030,DEV000030
ACC000031,DEV000031
ACC000032,DEV000032
ACC000033,DEV000033
ACC000034,DEV000034
ACC000035,DEV000035
ACC000036,DEV000036
ACC000037,DEV000037
ACC000038,DEV000038
ACC000039,DEV000039
ACC000040,DEV000040
ACC000041,DEV000041
ACC000042,DEV000042
ACC000043,DEV000043
ACC000044,DEV000044
ACC000045,DEV000045
ACC000046,DEV000046
ACC000047,DEV000047
ACC000048,DEV000048
ACC000049,DEV000049
ACC000050,DEV000050
ACC000051,DEV000051
ACC000052,DEV000052
ACC000053,DEV000053
ACC000054,DEV000054
ACC000055,DEV000055
ACC000056,DEV000056
ACC000057,DEV000057
ACC000058,DEV000058
ACC000059,DEV000059
ACC000060,DEV000060
ACC000061,DEV000061
ACC000062,DEV000062
ACC000063,DEV000063
ACC000064,DEV000064
ACC000065,DEV000065
ACC000066,DEV000066
ACC000067,DEV000067
ACC000068,DEV000068
ACC000069,DEV000069
ACC000070,DEV000070
ACC000071,DEV000071
ACC000072,DEV000072
ACC000073,DEV000073
ACC000074,DEV000074
ACC000075,DEV000075
ACC000076,DEV000076
ACC000077,DEV000077
ACC000078,DEV000078
ACC000079,DEV000079
ACC000080,DEV000080
ACC000081,DEV000081
ACC000082,DEV000082
ACC000083,DEV000083
ACC000084,DEV000084
ACC000085,DEV000085
ACC000086,DEV000086
ACC000087,DEV000087
ACC000088,DEV000088
ACC000089,DEV000089
ACC000090,DEV000090
ACC000091,DEV000091
ACC000092,DEV000092
ACC000093,DEV000093
ACC000094,DEV000094
ACC000095,DEV000095
ACC000096,DEV000096
ACC000097,DEV000097
ACC000098,DEV000098
ACC000099,DEV000099
ACC000100,DEV000100
ACC000101,DEV000101
ACC000102,DEV000102
ACC000103,DEV000103
ACC000104,DEV000104
ACC000105,DEV000105
ACC000106,DEV000106
ACC000107,DEV000107
ACC000108,DEV000108
ACC000109,DEV000109
ACC000110,DEV000110
ACC000111,DEV000111
ACC000112,DEV000112
ACC000113,DEV000113
ACC000114,DEV000114
ACC000115,DEV000115
ACC000116,DEV000116
ACC000117,DEV000117
ACC000118,DEV000118
ACC000119,DEV000119
ACC000120,DEV000120
ACC000121,DEV000121
ACC000122,DEV000122
ACC000123,DEV000123
ACC000124,DEV000124
ACC000125,DEV000125
ACC000126,DEV000126
ACC000127,DEV000127
ACC000128,DEV000128
ACC000129,DEV000129
ACC000130,DEV000130
ACC000131,DEV000131
ACC000132,DEV000132
ACC000133,DEV000133
ACC000134,DEV000134
ACC000135,DEV000135
ACC000136,DEV000136
ACC000137,DEV000137
ACC000138,DEV000138
ACC000139,DEV000139
ACC000140,DEV000140
ACC000141,DEV000141
ACC000142,DEV000142
ACC000143,DEV000143
ACC000144,DEV000144
ACC000145,DEV000145
ACC000146,DEV000146
ACC000147,DEV000147
ACC000148,DEV000148
ACC000149,DEV000149
ACC000150,DEV000150
ACC000151,DEV000151
ACC000152,DEV000152
ACC000153,DEV000153
ACC000154,DEV000154
ACC000155,DEV000155
ACC000156,DEV000156
ACC000157,DEV000157
ACC000158,DEV000158
ACC000159,DEV000159
ACC000160,DEV000160
ACC000161,DEV000161
ACC000162,DEV000162
ACC000163,DEV000163
ACC000164,DEV000164
ACC000165,DEV000165
ACC000166,DEV000166
ACC000167,DEV000167
ACC000168,DEV000168
ACC000169,DEV000169
ACC000170,DEV000170
ACC000171,DEV000171
ACC000172,DEV000172
ACC000173,DEV000173
ACC000174,DEV000174
ACC000175,DEV000175
ACC000176,DEV000176
ACC000177,DEV000177
ACC000178,DEV000178
ACC000179,DEV000179
ACC000180,DEV000180
ACC000181,DEV000181
ACC000182,DEV000182
ACC000183,DEV000183
ACC000184,DEV000184
ACC000185,DEV000185
ACC000186,DEV000186
ACC000187,DEV000187
ACC000188,DEV000188
ACC000189,DEV000189
ACC000190,DEV000190
ACC000191,DEV000191
ACC000192,DEV000192
ACC000193,DEV000193
ACC000194,DEV000194
ACC000195,DEV000195
ACC000196,DEV000196
ACC000197,DEV000197
ACC000198,DEV000198
ACC000199,DEV000199
ACC000200,DEV000200
ACC000201,DEV000201
ACC000202,DEV000202
ACC000203,DEV000203
ACC000204,DEV000204
ACC000205,DEV000205
ACC000206,DEV000206
ACC000207,DEV000207
ACC000208,DEV000208
ACC000209,DEV000209
ACC000210,DEV000210
ACC000211,DEV000211
ACC000212,DEV000212
ACC000213,DEV000213
ACC000214,DEV000214
ACC000215,DEV000215
ACC000216,DEV000216
ACC000217,DEV000217
ACC000218,DEV000218
ACC000219,DEV000219
ACC000220,DEV000220
ACC000221,DEV000221
ACC000222,DEV000222
ACC000223,DEV000223
ACC000224,DEV000224
ACC000225,DEV000225
ACC000226,DEV000226
ACC000227,DEV000227
ACC000228,DEV000228
ACC000229,DEV000229
ACC000230,DEV000230
ACC000231,DEV000231
ACC000232,DEV000232
ACC000233,DEV000233
