precision_fixed,recall_fixed,total_cost_fixed,n_flagged_fixed,best_threshold,best_total_cost,best_n_flagged,b
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,0
1.0,1.0,0.0,19,0.926097564296077,0.0,19,1
1.0,1.0,3553.1516756300744,27,0.5285064087406933,3553.1516756300744,27,2
1.0,1.0,1776.5758378150372,25,0.5285064087406933,1776.5758378150372,25,3
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,4
1.0,1.0,1776.5758378150372,31,0.6875736669473631,1776.5758378150372,31,5
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,6
1.0,1.0,1776.5758378150372,31,0.5285064087406933,1776.5758378150372,31,7
1.0,1.0,1776.5758378150372,27,0.5285064087406933,1776.5758378150372,27,8
1.0,1.0,0.0,22,0.5285064087406933,0.0,22,9
1.0,1.0,1776.5758378150372,19,0.5285064087406933,1776.5758378150372,19,10
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,11
1.0,1.0,1776.5758378150372,24,0.5285064087406933,1776.5758378150372,24,12
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,13
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,14
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,15
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,16
1.0,1.0,0.0,24,0.926097564296077,0.0,24,17
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,18
1.0,1.0,0.0,19,0.5285064087406933,0.0,19,19
1.0,1.0,3553.1516756300744,30,0.6875736669473631,3553.1516756300744,30,20
1.0,1.0,1776.5758378150372,35,0.5285064087406933,1776.5758378150372,35,21
1.0,1.0,0.0,22,0.5285064087406933,0.0,22,22
1.0,1.0,3553.1516756300744,22,0.5285064087406933,3553.1516756300744,22,23
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,24
1.0,1.0,1776.5758378150372,31,0.6875736669473631,1776.5758378150372,31,25
1.0,1.0,1776.5758378150372,28,0.6875736669473631,1776.5758378150372,28,26
1.0,1.0,0.0,26,0.5285064087406933,0.0,26,27
1.0,1.0,0.0,32,0.5285064087406933,0.0,32,28
1.0,1.0,1776.5758378150372,24,0.889069257965752,1776.5758378150372,24,29
1.0,1.0,0.0,22,0.5285064087406933,0.0,22,30
1.0,1.0,3553.1516756300744,29,0.889069257965752,3553.1516756300744,29,31
1.0,1.0,1776.5758378150372,21,0.5285064087406933,1776.5758378150372,21,32
1.0,1.0,3553.1516756300744,26,0.889069257965752,3553.1516756300744,26,33
1.0,1.0,5329.727513445112,28,0.5285064087406933,5329.727513445112,28,34
1.0,1.0,1776.5758378150372,30,0.889069257965752,1776.5758378150372,30,35
1.0,1.0,1776.5758378150372,30,0.5285064087406933,1776.5758378150372,30,36
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,37
1.0,1.0,0.0,19,0.6875736669473631,0.0,19,38
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,39
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,40
1.0,1.0,1776.5758378150372,29,0.6875736669473631,1776.5758378150372,29,41
1.0,1.0,0.0,20,0.5285064087406933,0.0,20,42
1.0,1.0,0.0,27,0.6875736669473631,0.0,27,43
1.0,1.0,0.0,34,0.889069257965752,0.0,34,44
1.0,1.0,5329.727513445112,29,0.5285064087406933,5329.727513445112,29,45
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,46
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,47
1.0,1.0,0.0,23,0.5285064087406933,0.0,23,48
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,49
1.0,1.0,3553.1516756300744,24,0.5285064087406933,3553.1516756300744,24,50
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,51
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,52
1.0,1.0,3553.1516756300744,29,0.5285064087406933,3553.1516756300744,29,53
1.0,1.0,0.0,30,0.5285064087406933,0.0,30,54
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,55
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,56
1.0,1.0,3553.1516756300744,24,0.6875736669473631,3553.1516756300744,24,57
1.0,1.0,3553.1516756300744,26,0.889069257965752,3553.1516756300744,26,58
1.0,1.0,5329.727513445112,32,0.6875736669473631,5329.727513445112,32,59
1.0,1.0,3553.1516756300744,29,0.5285064087406933,3553.1516756300744,29,60
1.0,1.0,3553.1516756300744,18,0.5285064087406933,3553.1516756300744,18,61
1.0,1.0,12436.03086470526,27,0.5285064087406933,12436.03086470526,27,62
1.0,1.0,1776.5758378150372,23,0.5285064087406933,1776.5758378150372,23,63
1.0,1.0,3553.1516756300744,24,0.5285064087406933,3553.1516756300744,24,64
1.0,1.0,0.0,28,0.889069257965752,0.0,28,65
1.0,1.0,1776.5758378150372,33,0.5285064087406933,1776.5758378150372,33,66
1.0,1.0,3553.1516756300744,29,0.5285064087406933,3553.1516756300744,29,67
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,68
1.0,1.0,1776.5758378150372,29,0.5285064087406933,1776.5758378150372,29,69
1.0,1.0,1776.5758378150372,30,0.5285064087406933,1776.5758378150372,30,70
1.0,1.0,0.0,21,0.5285064087406933,0.0,21,71
1.0,1.0,0.0,22,0.6875736669473631,0.0,22,72
1.0,1.0,3553.1516756300744,24,0.5285064087406933,3553.1516756300744,24,73
1.0,1.0,1776.5758378150372,20,0.5285064087406933,1776.5758378150372,20,74
1.0,1.0,1776.5758378150372,31,0.5285064087406933,1776.5758378150372,31,75
1.0,1.0,0.0,20,0.6875736669473631,0.0,20,76
1.0,1.0,0.0,17,0.5285064087406933,0.0,17,77
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,78
1.0,1.0,1776.5758378150372,18,0.6875736669473631,1776.5758378150372,18,79
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,80
1.0,1.0,1776.5758378150372,29,0.6875736669473631,1776.5758378150372,29,81
1.0,1.0,0.0,30,0.5285064087406933,0.0,30,82
1.0,1.0,0.0,20,0.5285064087406933,0.0,20,83
1.0,1.0,3553.1516756300744,24,0.5285064087406933,3553.1516756300744,24,84
1.0,1.0,0.0,23,0.5285064087406933,0.0,23,85
1.0,1.0,3553.1516756300744,28,0.5285064087406933,3553.1516756300744,28,86
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,87
1.0,1.0,3553.1516756300744,25,0.5285064087406933,3553.1516756300744,25,88
1.0,1.0,3553.1516756300744,32,0.5285064087406933,3553.1516756300744,32,89
1.0,1.0,1776.5758378150372,33,0.5285064087406933,1776.5758378150372,33,90
1.0,1.0,0.0,28,0.5285064087406933,0.0,28,91
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,92
1.0,1.0,0.0,27,0.926097564296077,0.0,27,93
1.0,1.0,0.0,30,0.5285064087406933,0.0,30,94
1.0,1.0,0.0,23,0.6875736669473631,0.0,23,95
1.0,1.0,1776.5758378150372,26,0.5285064087406933,1776.5758378150372,26,96
1.0,1.0,0.0,29,0.5285064087406933,0.0,29,97
1.0,1.0,5329.727513445112,25,0.889069257965752,5329.727513445112,25,98
1.0,1.0,0.0,26,0.6875736669473631,0.0,26,99
1.0,1.0,0.0,25,0.5285064087406933,0.0,25,100
1.0,1.0,0.0,24,0.5285064087406933,0.0,24,101
1.0,1.0,3553.1516756300744,31,0.5285064087406933,3553.1516756300744,31,102
1.0,1.0,1776.5758378150372,22,0.5285064087406933,1776.5758378150372,22,103
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,104
1.0,1.0,0.0,27,0.5285064087406933,0.0,27,105
1.0,1.0,0.0,16,0.6875736669473631,0.0,16,106
1.0,1.0,1776.5758378150372,29,0.5285064087406933,1776.5758378150372,29,107
1.0,1.0,0.0,19,0.5285064087406933,0.0,19,108
1.0,1.0,1776.5758378150372,25,0.6875736669473631,1776.5758378150372,25,109
1.0,1.0,3553.1516756300744,30,0.5285064087406933,3553.1516756300744,30,110
1.0,1.0,0.0,21,0.5285064087406933,0.0,21,111
1.0,1.0,1776.5758378150372,28,0.5285064087406933,1776.5758378150372,28,112
1.0,1.0,0.0,35,0.6875736669473631,0.0,35,113
1.0,1.0,3553.1516756300744,26,0.889069257965752,3553.1516756300744,26,114
