account_id,cluster_id,cluster_size
ACC2c4ebec20d,0,29
ACC4072ceba23,0,29
ACC5117b66ac5,0,29
ACC7e39d709af,0,29
ACCa410c37187,0,29
ACCacc5d0788a,0,29
ACCbcb6271656,0,29
ACCef9a32bd3d,0,29
ACCfd6d733be2,0,29
ACC04860c04b7,1,3
ACC53c87c9ec3,1,3
ACC562b6b4540,1,3
ACCc895395dcc,2,3
ACCe172ce4795,2,3
ACCe6b62e3976,2,3
ACC1b18cc2bb0,3,39
ACC2512e21f20,3,39
ACC3aacb4fa49,3,39
ACC45fd9e4126,3,39
ACCe7595ffd2f,3,39
ACCecb2f4b7c8,3,39
ACCfa511078a2,3,39
ACC19c6301d28,4,35
ACC5a05192a01,4,35
ACC96ddb45be9,4,35
ACCc3284c6481,4,35
ACCe0929c0bea,4,35
ACCe5ebda03c9,4,35
ACCfdd471a155,4,35
ACC112b75afbd,5,37
ACC1ee317412e,5,37
ACC2e2119e84d,5,37
ACC72b44ee64f,5,37
ACC7f8beda2fa,5,37
ACC88d57dd251,5,37
ACC8eb5543e04,5,37
ACCc2bec35a57,5,37
ACCdf2885b59a,5,37
ACCe2d1287f0b,5,37
ACCefb3a868b3,5,37
ACCf7829e55fd,5,37
ACCfda9caff14,5,37
ACC0a5e6407b1,0,29
ACC17c120a0a0,0,29
ACC84a1378626,0,29
ACC8f88ef5617,0,29
ACCb8af2a23bd,0,29
ACCcc913c48d2,0,29
ACC3ee0150b11,8,2
ACCe633da1573,8,2
ACC1a5e3d43fa,23,17
ACC815bce9b53,23,17
ACCd9f90aa415,23,17
ACC0a463f6c3d,10,33
ACC0dfda42709,10,33
ACC17051b87a2,10,33
ACC62da341b63,10,33
ACC832f5a4f26,10,33
ACC8fc2613bde,10,33
ACCa20292056f,10,33
ACCad87767466,10,33
ACCb5d976786c,10,33
ACCbe8daced73,10,33
ACCe98f9d1408,10,33
ACCec56c9e6e7,10,33
ACC2e2aa71ed2,32,27
ACC348525727c,32,27
ACCfd47b995e8,32,27
ACC33ae9925fb,13,27
ACC396e6ffe58,13,27
ACC40bc8f29e6,13,27
ACC4a55ba6417,13,27
ACC5e9c24b74e,13,27
ACC8ad9bda938,13,27
ACCbedca48313,13,27
ACCc0f71d9087,13,27
ACCc45fcbf738,13,27
ACCca7552203e,13,27
ACCfa6fb828dd,13,27
ACC219636e8c7,14,29
ACC5601e7a50a,14,29
ACC58a4411a6f,14,29
ACC82361a3f1d,14,29
ACC8d0bf8fc85,14,29
ACCbdef0b687a,14,29
ACCd42ba923d4,14,29
ACCe0e443f407,14,29
ACC224c0bdb0e,15,4
ACC338ff7a988,15,4
ACCa3f79efe9b,15,4
ACCd4ca223076,15,4
ACC9f4f1557ec,13,27
ACCa0758e51d2,13,27
ACCa515d6bdbd,13,27
ACCb5f3d7d49b,13,27
ACCbc35229ea3,13,27
ACCbf5c1ad4b3,13,27
ACC03660a372a,16,26
ACC070164e1d5,16,26
ACC6930661d61,16,26
ACC7ea8289470,16,26
ACC8330a5ee12,16,26
ACC8cdb017c73,16,26
ACC9d6208044b,16,26
ACC9e79692ccd,16,26
ACCa0500cdf6a,16,26
ACCb14478bef0,16,26
ACCc67bbb8ba6,16,26
ACCe50021309c,16,26
ACCec9481e9a4,16,26
ACC149efa64a1,17,3
ACCe0aa0af758,17,3
ACCe896e65fb4,17,3
ACC1698389d00,18,30
ACC4fdcdf3e7f,18,30
ACC59afa0346b,18,30
ACC9b9d6da571,18,30
ACCe7fc7f3418,18,30
ACC02e3f4634b,16,26
ACC093cb965e1,16,26
ACC4aa9d7ee0c,16,26
ACC8c1c30e3cb,16,26
ACC941da72720,16,26
ACCb14b38975e,16,26
ACCc1cae2c611,16,26
ACCc56e3683fc,16,26
ACCce5d9ad45e,16,26
