referrer_id,referred_id,referral_date,bonus_amount
ACCdc416ba257,ACC3471daf407,2025-11-17,424.83
ACC3471daf407,ACC63a97ca9b6,2025-11-20,190.22
ACC63a97ca9b6,ACC4ab2408188,2025-11-23,225.95
ACC4ab2408188,ACCe5a250a531,2025-11-29,282.43
ACCe5a250a531,ACC55efac37a4,2025-12-01,352.87
ACCdc416ba257,ACC774f2997e8,2025-11-15,262.23
ACC774f2997e8,ACC7c1b6ff174,2025-11-19,152.7
ACCdc416ba257,ACCc535793f2f,2025-11-15,368.47
ACCc535793f2f,ACC0fec4dae5e,2025-11-21,152.8
ACC0fec4dae5e,ACC6a6741001e,2025-11-26,226.03
ACC6a6741001e,ACC73470e0c0b,2025-12-01,468.5
ACCdc416ba257,ACC487b8f6d47,2025-11-12,382.82
ACC487b8f6d47,ACC3b341e0933,2025-11-18,371.1
ACC3b341e0933,ACC3d0de93a53,2025-11-21,319.4
ACC3d0de93a53,ACC4ef12d461e,2025-11-24,199.0
ACCcee837366b,ACCb6788d8536,2025-04-06,337.19
ACCb6788d8536,ACCde6226247e,2025-04-08,459.92
ACCcee837366b,ACC58c784e083,2025-03-31,268.38
ACC58c784e083,ACCf25a7df2e0,2025-04-07,265.39
ACCf25a7df2e0,ACCde947164b3,2025-04-09,489.71
ACCcee837366b,ACCa9a61dfcbc,2025-03-30,342.97
ACCa9a61dfcbc,ACC60990e8d0c,2025-04-06,350.49
ACCd1fb110b94,ACC4d06223886,2025-08-22,416.82
ACC4d06223886,ACCbcb7aab9a5,2025-08-24,171.78
ACCd1fb110b94,ACC0da8c4beb3,2025-08-14,493.54
ACC0da8c4beb3,ACC48d33544a8,2025-08-16,198.32
ACC48d33544a8,ACC7fffcd4abd,2025-08-19,235.66
ACCffaf605123,ACC4a582b47fc,2025-05-25,208.45
ACC4a582b47fc,ACC3ff12bdc41,2025-06-01,471.76
ACC3ff12bdc41,ACC52e11a3711,2025-06-05,257.71
ACCffaf605123,ACC1ad00e4bb5,2025-06-11,310.43
ACC1ad00e4bb5,ACC1d2b22f88d,2025-06-18,302.81
ACCe85fae8988,ACCd38eeea3f6,2025-06-04,457.72
ACCd38eeea3f6,ACCc80906b20e,2025-06-07,161.97
ACCe85fae8988,ACCdc37dbb738,2025-05-25,252.87
ACCdc37dbb738,ACC9d87454a9b,2025-05-31,362.58
ACC9d87454a9b,ACCad73add770,2025-06-06,166.52
ACCad73add770,ACCa1f8856b20,2025-06-13,274.43
ACCa1f8856b20,ACCc9014b286b,2025-06-20,485.2
ACC7cbda6d976,ACC8ab153b5de,2025-12-20,319.57
ACC8ab153b5de,ACCc6073c1115,2025-12-23,341.76
ACCc6073c1115,ACC008d9f39a3,2025-12-27,426.79
ACC7cbda6d976,ACCb67f6e8a50,2025-12-15,285.09
ACCb67f6e8a50,ACC0ed235fa25,2025-12-22,394.58
ACC7cbda6d976,ACC8ff0fdb3e3,2025-12-31,254.11
ACC8ff0fdb3e3,ACC34a44f99b1,2026-01-06,436.43
ACC34a44f99b1,ACC245af4c0c3,2026-01-08,162.03
ACC245af4c0c3,ACC553c8d59d7,2026-01-14,240.02
ACC034024f7b3,ACCbd377eb92b,2025-06-25,204.39
ACCbd377eb92b,ACCecbe80a96a,2025-06-29,176.36
ACCecbe80a96a,ACC307565df21,2025-07-02,325.14
ACC034024f7b3,ACCecf9614499,2025-06-29,325.79
ACCecf9614499,ACCad8d1d72b9,2025-07-06,415.99
ACCad8d1d72b9,ACCe90cb84966,2025-07-12,183.44
ACCe90cb84966,ACCe6138b8fbd,2025-07-14,224.85
ACCe6138b8fbd,ACC9f3d60c491,2025-07-21,169.45
ACC9f3d60c491,ACC034024f7b3,2025-07-23,189.12
ACC3e097f6fe9,ACCf2ba61c88e,2025-11-09,480.46
ACCf2ba61c88e,ACCea8214cd20,2025-11-16,161.24
ACC3e097f6fe9,ACCf149c9a15b,2025-10-29,458.68
ACCf149c9a15b,ACC4daa5dda68,2025-11-01,204.6
ACC3e097f6fe9,ACCacb57fae5a,2025-11-16,473.17
ACCacb57fae5a,ACC8b940f9bc3,2025-11-23,280.9
ACC8b940f9bc3,ACCcf5910b682,2025-11-28,206.08
ACC3e097f6fe9,ACCc65b64f2e4,2025-10-29,351.56
