synth_seed,chosen_model,chosen_threshold,n_clusters,n_flagged,tp,fp,fn,tn,precision,recall,ring_value_protected,ring_value_missed,non_ring_flagged_accounts,fp_coincidental,fp_other,seed,status
1,Logistic Regression (pure graph),0.7732484382694863,51,18,18,0,1,32,1.0,0.9473684210526315,490517.61,7988.070000000001,0,0,0,1,ok
2,Logistic Regression (pure graph),0.7732484382694863,50,17,17,0,3,30,1.0,0.85,415639.15,26580.68,5,5,0,2,ok
3,Logistic Regression (pure graph),0.7732484382694863,55,18,18,0,2,35,1.0,0.9,542701.58,7863.8099999999995,6,6,0,3,ok
4,Logistic Regression (pure graph),0.7732484382694863,58,18,18,0,3,37,1.0,0.8571428571428571,514278.88999999996,19731.54,10,10,0,4,ok
5,Logistic Regression (pure graph),0.7732484382694863,55,19,19,0,1,35,1.0,0.95,491697.38,7676.5,4,4,0,5,ok
6,Logistic Regression (pure graph),0.7732484382694863,53,18,18,0,0,35,1.0,1.0,428798.71,0.0,5,5,0,6,ok
7,Logistic Regression (pure graph),0.7732484382694863,56,18,18,0,2,36,1.0,0.9,507292.18999999994,19103.18,4,4,0,7,ok
8,Logistic Regression (pure graph),0.7732484382694863,54,16,16,0,3,35,1.0,0.8421052631578947,447194.26,23666.96,4,4,0,8,ok
9,Logistic Regression (pure graph),0.7732484382694863,57,18,18,0,3,36,1.0,0.8571428571428571,525321.1,10587.230000000001,3,3,0,9,ok
10,Logistic Regression (pure graph),0.7732484382694863,53,18,18,0,2,33,1.0,0.9,468815.08,12674.000000000002,4,4,0,10,ok
11,Logistic Regression (pure graph),0.7732484382694863,54,18,18,0,2,34,1.0,0.9,543406.53,14824.019999999999,11,11,0,11,ok
12,Logistic Regression (pure graph),0.7732484382694863,50,18,18,0,1,31,1.0,0.9473684210526315,552389.5700000001,9379.210000000001,5,5,0,12,ok
13,Logistic Regression (pure graph),0.7732484382694863,50,18,18,0,1,31,1.0,0.9473684210526315,451306.66000000003,5202.96,5,5,0,13,ok
14,Logistic Regression (pure graph),0.7732484382694863,56,17,17,0,2,37,1.0,0.8947368421052632,440136.57,5738.2300000000005,5,5,0,14,ok
15,Logistic Regression (pure graph),0.7732484382694863,52,18,18,0,2,32,1.0,0.9,469965.57,19738.77,0,0,0,15,ok
