account_id,device_id
ACC2dc477ac10,DEV9cb4c9150a
ACCa2303e865d,DEVea9b6dff82
ACCdfab780aca,DEVb230114e29
ACC2284584513,DEV28101dcd59
ACC4cced75233,DEVd1c1953f02
ACC05ecedbb26,DEqVba41fc88d7
ACC4482b71198,DEV26fbc76a6d
ACC42234cd7dd,DEV7dc9641c1b
ACCdcd954bd82,DEV284911172b
ACC4613a135ef,DVc0ca78be7a
ACCd04110abad,DEV6afa30e959
ACCb52ccd4638,DEV86e72d88d9
ACCadc3d869e7,DEVe9de6a8fcb
ACCadc6c722fd,DEV94f48bb6c7
ACC6ef47e83c5,DEV0pfaef487cd
ACCb9a339e600,DEV13af59852
ACCdba04a2e2e,DEVdd5e26d719
ACC5c5c392518,DEVec1973apf63
ACCa188260330,DEVbba83c1a68
ACC63a1c0b6a9,DEVed23b6b242
ACCf9a8302a83,DEVc641d28703
ACC7ad78c0253,DEV96d65545bzc
ACCd0834756a3,DEVa4e67001aa
ACC311fa2bf93,DEVccba46efcd
ACC3e3875602a,DEV34c05b173b
ACCd468eeda12,DEVfb35f8ddca
ACCea45c15d4f,DEV0255d447f4
ACCa8ff14f52e,DEV3b784884d3
ACCde9d85523c,DEVa2b67f8f66
ACC1cd2565df8,DEV328f2786d9
ACCe9b746ae66,DEV32336c712d
ACCe87b719d51,DEV1a18e34998
ACC989a301084,bDEV8338ed694c
ACCaf2249a349,DEV5f884aa8bg1
ACC24328ed95e,DEV30cb43a8c7
ACC4685f66871,DEV2988d2506d
ACCed2da50e7f,DEVacf78ea49c
ACC0892d3eaf7,DEV6845e1db26
ACC6eb92d556a,DEV2bd13f39eb
ACCdb1619e0e8,DEV2b2f4b6acc7
ACC50c6c9387f,D2EVd68ca5dec0
ACCc2c1c4362a,DEV24d5b923ee
ACCceea34804c,DEqV768308d442
ACC8e14f03699,DEV5ad2f8dfdc
ACC344f2a5b83,DE1V4b3a03434
ACCb6a3158cd6,DEV03324f05d3
ACC363d703b44,DEV0c5318bfe0
ACCc91828628c,DEVeea5f36d160
ACC90cf7cfffe,DEV8d222bf32e
ACC9f61a46558,DEV3687b70f66f
ACCa82338fad1,DEV835b1e6900
ACCedc9bc3730,DEV68ceb0cc8b
ACCb460b2e276,DEVa4f47583f4
ACCd35d51b491,DEV75c872ad0
ACC6aa5df656d,DEVfe06eb3de7
ACC6f04753f8e,DEV2bbb70df10
ACCb65e0d7d94,DEVf5ee144a1c7
ACC54f12aef9d,DEV8c2b605bca
ACC1096446ded,DEVa04f99b0f5
