account_id,device_id
ACC3f2b13f3a7,DeEV73d13046e6
ACCde85e43044,DEV262af340c
ACCb7653371bb,EVad8fb9d985
ACC6acfec29a1,DEVdee19da50e
ACC996e9eebf7,DEV4a72d7f8e4
ACC4a7467a1e7,DEVj597768b22d
ACCbb31cfef2d,DEV6ed877k9522
ACC991f483a15,DEVe9fb4ef0d9
ACCb4e1d67b25,DEVeae616fadc
ACCa0e5b04f5a,DEV8f00b12d5e
ACC27fbcea8d8,DEVd584076efe
ACC2fd23dfa93,DEVa42751b8ca
ACC038cd792f7,DEVc848548483
ACC66dfb20b12,DEV611a2e560
ACCc9606846f5,DEV7e07f855b2
ACC649fedb8ce,DEVa19ff4ad95
ACCbc38fd2e4e,DeEV6bbbef26d4
ACC1d3362c345,DEVb4af204b35
ACC9c4aa6c621,DEV3ce8404869
ACC94b81e131c,DEVccdfa903f8
ACC88626c5453,DEV189e7a1bb5
ACCd431ed96e4,DEV1c892cab93
ACC2d6eff0b00,DEV4f84870e9b
ACC80847d2b10,DEV6b16739012
ACCaefd439996,DEeVbbc94770d
ACCe98e496657,DEV63f896265d
ACC5d5fb6c856,DEVa782f80adf
ACC2359d5cd5a,DVE812abf7374
ACC2966f593dc,DEV5556g4630c6
ACCadac42ad52,DEV8f6f23a36
ACC6f17e55344,DEVbe35789ed0
ACC6480083235,DaEVbbcfb95f34
ACCfabd6972d1,DEV7b1909bf0c
ACC9d4b21ee44,DEV135542f3f1
ACCad04a5b367,DEVc8f7e29e0
ACC2ff387cad0,DEV3f39e8383
ACCe9121adf11,DEVfd54e29159
ACCb9a210a527,DEV60ac9bdfd8
ACC03de417420,DEV45faceaffc
ACC828680e558,DEV8780d9D3e1
ACCab2109d3b9,DEV2e03af3886
ACC923f7f0075,DEVe608f46796
ACC088cc57911,DEV8db46189ed
ACCc3e7a6c4bc,DEV12d71cd320
ACC1c82e3b020,DEV3ccd9b96d
ACC0b2cc06779,DEVbb69d6ad71
ACC9735beba10,DEVb4080c7c9f7
ACC31c55b3f1f,DEVa96c47a138
ACCdbeee1155a,DEV5dcdaeb2fb
ACC3926ba5d2c,DEVd6b217a3d
ACC83994e5623,DEVdf574198ad
ACCf964869050,DEV6fe471c58
ACC85fa411759,DEV99d71af55a
ACCe26567b148,DEVd181574ac3
ACC38cac270b3,DEV8a5e7e504
ACC24a10193d9,dEV979b96915e
ACC7189ee0399,DEV32ab7c2923
ACCb1429938b5,DEV70cddf5e70
ACC29e23da816,DEV23f366ca7
ACC6432d06b93,DEV7e7181057
ACCe2095c90ff,DEV9e4278fc4d
ACCf005bd9c2e,DEVb9453fed1
ACC93a63ecc3f,DEV9d7659864f
ACC62e0d5a25b,DEV1bf69185ba
ACC242061eafd,DEVc04513dccf
ACCfe6dfba1e8,DEVccc959a9e5
