account_id,cluster_id,cluster_size
ACC3701cd7846,0,26
ACC8aada081f8,0,26
ACC97a354b1e1,0,26
ACC9c66e13799,0,26
ACCa2fcdfbdf9,0,26
ACCa30f2e2f5e,0,26
ACCb8a20d9015,0,26
ACCcbcb768624,0,26
ACCd1cab713d1,0,26
ACC02a02387d9,1,28
ACC0628ffe185,1,28
ACC3c137b89b8,1,28
ACC7429bfe1db,1,28
ACC8b05486b67,1,28
ACCad135aacff,1,28
ACCc612781395,1,28
ACCdaf9743f99,1,28
ACCe6968334e5,1,28
ACCeaf4792041,1,28
ACCed9c9ada62,1,28
ACC0d2e253a44,41,7
ACC44de08d0a6,41,7
ACC6cba097100,41,7
ACC2544825eab,3,3
ACC35259a9c19,3,3
ACC6e375960e9,3,3
ACC04828261f8,4,27
ACC14aae574da,4,27
ACC1791dec1a7,4,27
ACC4b98003969,4,27
ACC553fa44615,4,27
ACC75cce4508b,4,27
ACC7c6b5a8d38,4,27
ACC94fab05a62,4,27
ACCa1fc29714c,4,27
ACCa5f1b059f2,4,27
ACCaedbc74cf5,4,27
ACCb75928d2bc,4,27
ACCdc1fc5471b,4,27
ACCe51c77dd76,4,27
ACC1356c8fd38,5,31
ACC6ae70b1a55,5,31
ACC73d6490659,5,31
ACC87eb728af0,5,31
ACC95cc71eb32,5,31
ACCba70ce498b,5,31
ACCaabad967d9,6,20
ACCc1ae44e7ef,6,20
ACCe5e9d17098,6,20
ACC05c6ea3e46,7,24
ACC35c8c7b9dc,7,24
ACC91e30ebbee,7,24
ACCdb617ce4f6,7,24
ACC020fa0c372,8,2
ACC5434a455a8,8,2
ACC1c51e1e95f,9,13
ACC2511f09c2f,9,13
ACC3282f89deb,9,13
ACC598230b303,9,13
ACC6fb7039989,9,13
ACC7ac808678e,9,13
ACC87f92b868d,9,13
ACC1ae37f45d8,10,26
ACC81b3e7984e,10,26
ACC890d70126b,10,26
ACCaf7f5a57e3,10,26
ACCb73c90cbd2,10,26
ACCf7870818f0,10,26
ACC4ff428329c,10,26
ACCa4e2fef6ea,10,26
ACCab5a2cfb9a,10,26
ACCd2cd4a829e,10,26
ACCd4d3d65d84,10,26
ACCd5502db136,10,26
ACC042ea58c09,11,22
ACC25c3cb9c7b,11,22
ACC2ae2f06dff,11,22
ACC57d981c65e,11,22
ACC6f540384ee,11,22
ACC7b56c5dc54,11,22
ACC7cd330c040,11,22
ACCbba99e9146,11,22
ACCc3bb551dcc,11,22
ACCccc0b31879,11,22
ACCd19d5e4c31,11,22
ACCe0d5c62eed,11,22
ACCf9b97f25b2,11,22
ACC19ce3b6759,12,3
ACC1e00a2cf8e,12,3
ACCcb81b5065d,12,3
ACC1824cc823d,13,21
ACC240521c2e3,13,21
ACC26bd9f0809,13,21
ACC3f017f2807,13,21
ACC3f9a386acf,13,21
ACC5249865a06,13,21
ACC6b9bcea31f,13,21
ACC8eb2d0079b,13,21
ACCc21d166c87,13,21
ACCe8d60c01bc,13,21
ACCf8023d196f,13,21
ACC0407e84a46,7,24
ACC9aa33a1079,7,24
ACC10320923c3,14,3
ACC7933b6ce65,14,3
ACC9a1d9e348b,14,3
ACC0b9cb1fa06,15,41
ACC4f99e4276a,15,41
ACC62e9665c4e,15,41
ACC88f78f14aa,15,41
ACCa231c34fa1,15,41
ACCec4367375a,15,41
ACC10efee6931,16,23
ACC5e788ae886,16,23
ACC987ccac5c4,16,23
ACCb56500fb4d,16,23
ACCb86efa592f,16,23
ACCf1abe104f7,16,23
