account_id,device_id
ACCa043bae160,DEV803a839c0c
ACC6e743849e6,DEV8101ac616f
ACC9715fc3391,DEVf82af289fe
ACC97cc31667b,EDV0bc138227d
ACC9901a954a5,DEV2a7ee09918
ACCad052f27b8,DEVfb2058605e
ACC73e5dd3a64,DEV58Ad50e49f
ACCa33037d16a,DEV73a0cc162f
ACC8636e9bdc6,DEV46ed8bce74
ACCf104af6b1b,DEV1cd91fc565
ACCb49786b5b4,DEV1318c237bf
ACC33a2210794,DEVbb7aecaae6
ACCa7155ad5b4,DEV755f685fa86
ACCedf36d657e,dEVfca2f2f51d
ACC9c21d93e27,DEV40cea2759a
ACC4dc71c3aa6,DEV16415b46a5
ACCf05fc3d89d,DEVcc94ff8c1pd
ACC6c1ae8d6e6,DEV616a52e1di1
ACCe522a1bf18,DEV7245f9e2c0
ACCb6105c9de1,DEV66j1db3c1a8
ACC7ca57201e5,DvEV0bf895e6ca
ACC5523f7321d,DEVae9922bp9eb
ACCdac24db2b7,DEV032f96c313
ACCe8f84c35cd,DEV15ebe6f77e
ACCf5c986a31b,DEVe1cb39bf2
ACC7a5eca2f6e,DEV842e3f8413
ACC20fd6fedeb,DEV78740f8f35
ACCfb45d8b4d5,DEVf9cbb07fcc
ACC3383f443b5,DEV498e65c20f
ACCe091f4f87f,DEV4c5Bab054a
ACCa9c885e1de,DEV2d7ab7e702
ACC6de6aa8a52,DErV8b3004a88d
ACCa542a340fe,DEV805a68b642
ACCe8c6854871,DEVye569324e96
ACC0aeea0860b,DEV0dace11238
ACCa2d032dde4,DEV9da68bcb1b
ACC5104542278,DEV051956461e
ACC949b7265ba,DEV54c5e3f2c0
ACC113b8b357a,DEV5016f1f247
ACCb4912142b8,DEV9678ee2242
ACC11cd5d0b8f,DEV4f75d7fc3c
ACCe184e5f50c,DEVabdc6fd754
ACC64b3ab0723,DEyV0bdf6216b1
ACC1798ffe2d9,DEVcfc01400c8
ACCb1e5684fa7,DEV0d22cea1b0
ACC7c3ec30635,DEVf0adb18370
ACCd1c4b93d2b,DEV8a4f067b37
ACCb7665e4729,DEVa7e7166ac3
ACC2fdcf82009,DEV0e32bed509
ACC39e2b3f2e1,DEV74314106bf
ACCa41687001d,DEv30241d467a
ACC26f6fad4ee,DEV66547dc986
ACC7d46a33dbc,DEV82482de03d
ACC4c4fa66547,DEV90ffd89u4a7
ACC7d9f1e8d64,DEV2369e75bc7
ACC5e53fe63b2,DEV1bc6ac9901
ACCda218b143f,DEV71204c51c
ACC045bac99fa,DEV6b7aa2de90
ACCe7db6431d3,DEV16ed9c7af2
ACCfaf8b51579,DEVa8e601600
ACC2286682945,DEV0e9cad4c81
ACC08c8874a51,DEVfc8a3a3ad3
ACC7826c8f2ae,DEVf0d2096813
ACCb6d2be7548,DEVdd284e1108
ACCafb7537150,DEV6ee0a1fa4b
ACC7732d0092a,DEV042f990ba4
ACC6db6f7c5ce,DEV64ce18940b
ACCb2f012e613,DEVcbe6a4f0c27
ACC0288851848,DEVbf9ccf7790
ACC43dd5c11f7,EVd55ee942c8
ACC1234d1b458,DEV01df39a2c5
ACC63b728205e,DEVf847fb29aa
ACC52f0f42701,DeV36c75b01c2
ACCc00c795121,DEVefa0abc23f
ACC2d3719da8b,DEV591e37e1c0
ACCf00402e0f3,DEVfde899172
ACC0b67983462,DEV90618c2287
ACC83847b2b09,DEV403b47f1aa
ACC16f9a332fe,DEV8328cd4b82
ACC230c046bfc,DEVefd8757360b
ACCa1829e8650,DEVe15ab2b1Ba
ACC2052099511,DEVa9be9c279e1
ACC4148c1569f,DEV55aeca7aE8
ACC70783eb8c2,DEV306d140dd5
ACC924e800e06,DEV6beab7553c
ACC117d45986b,DEV8147933271
ACCeebef998dd,DEVef08f14069
ACC8dc48893aa,DEVa899e807es9
ACCddc66ab29d,DEVc1264bc86b
ACCfadfab1d2a,DEVeb47eae46e
ACC5a6af18f17,DEV2063bea51a
ACC02a7e0b220,DEV729d17c3c6
ACC32b9b91d46,DEV3ff9df87a3
ACCe2e762baf3,DEVb02d725e9c
ACC866cb171cb,DEV24a174bdb0
ACCabcdbcc5e8,DEV5078d78de7
ACC4fdba23052,DEV280555824e
ACC87a18359fe,DEV2d5545fd1b
ACC24aa1a42ea,DEVc7f95764af
ACC8c171de745,DEV24b12bb43f
ACC8b39190334,DEVf138b597f2
ACC91ef1f59f1,DEV4b94ca6796
ACC7887820496,DEVc40925c9ca
ACC151c73ca4c,DEV3697c20bd9
ACC1be8dfe4e3,DEV596b6322f7
ACC12416b85bc,DEVac26a5128f
ACC4d0992f290,DEVCed733fd4b
ACCefff9b0494,DEV2e0227571b
ACC1b2534dbd9,DEV9f8961cae0
ACC4cb89143c6,DEV2c4ca176c4
ACC8867bd59c0,DEV261e497a9
ACC261eb77073,DEV00abfdb984
ACC738f54a2d8,DEV691345504e
ACCfc0d7424b6,DEV2c636c67dc
ACCde926ae997,DEVce186be883
ACC51bd10e775,DEV9864767e7f
ACC290ee3d715,DEV74756dd22a
ACCd918597e52,DEbV61f842c2fa
ACC80df9a20e4,DEVfd3d42811b
ACCdac3ff07b9,DEVfa14823b9
ACCf3bfe351a0,DEV9a5413505c
ACC8a5982794f,DEV08dd633ec5
ACC1e43cafffe,DEV1e238b56ae
ACC662d41c483,DEV8756574074
ACC987d51d6f6,DEVd02d4b7a53
ACCd236b79f98,DEV40216c8ee7
ACC2300aa7563,DEV4b2a771ab7
ACC338f135265,DEV7da51349f
ACCe25c0c6dc3,DEV38ea3ab965
ACCe92b477691,DEV3e0db56e66b
ACCbced19cd43,DEV271c66462
ACC47c95a5535,DEV9fdc0d6dpe0
ACCef7832fb1f,DEVe564bafaae
ACC10d5d43a24,DEnV94f1fb7d7b
ACC0b9af2f6de,DEVf20fa9fa60
ACC911ec2d088,DEV1d8dac3a1d
ACC32894b684a,DEV7faf23a4aa
ACC5bf89d7208,DEV294ea5ca67
ACCae831d8f66,DEV5addd47640a
ACCe84fa72b0e,DEV142650afff
ACCe691064a35,DEVs8a44456500
ACCe809b209cb,DEVadf2c6642
ACCaf5fe42e4f,DEVd3f2f8fcc1
ACC1610de2c4f,DEVc0c8dd12ce
ACC6526ea94e4,DEVecb10e2a56
ACCe05ddd42df,DEV33b12bbb60
ACCb606df91b7,DVEd2ca3119d0
ACC6b1c2969d4,DEV1af33a2bf8
ACC95167ef0f0,DEV2169d3da57
ACCd8a4d1e5c2,DEV78f6e9d8e
ACC6f5e758264,DEVabfe11d01e
ACC523b2196ce,DEVf31690be1
ACC202990ff79,DEoV2be30082d1
ACCf469ef861c,DEV51a5c15057
ACCa11cb4c685,DEV6bd7f15900
ACC7675dc85fb,DEVd12e679361
ACCc549b18b74,DEV2a257fa60f
ACC505becde91,DEV263f509B63
ACC1705d02ec8,DEVfb2b6e40e3
ACCc94382894c,DEV60cd7040da5
ACC497a1202b3,DEV74af7a6b16
ACC5bc4c46ea6,DEVec825f596
ACC9aa3ce5681,DEV33d85edc7a
ACCe31febc0ff,DEVe72b17357c
ACC6cc80cd300,DEV459ef26aa1
ACC46d1497d60,DEV26048509ee
ACCc919542777,DEVa8691e8f74
ACC9c8c8953d0,DEVcafff9afb8
ACC27e32726cb,DEV206bf2dee5
ACC5522dbf389,DEV14147e4efc
ACC38dafa39d3,DEV77272a18b3
ACC76e4b5d469,DEVc1f928f069c
ACC341ca2b411,DEV0b8e196ddc
ACC142a183f91,DEV8dc076bd0b
ACC7a82d601fb,DEV895a2839b8
ACCfb9e3033e9,DEV701F2c674c
ACC4aa6fb4090,DEV77dcc00e2b
ACC4559b9711b,DEV9fcc351b3d
ACC4e8a7759ae,DEVad06a51e47
ACC42d6b28c02,DEV8637673e65
ACC7f6c44a9c7,DEVbdf126cd10
ACCc18b5a462b,DEVD613448d3c
ACCc7729996cc,DEVf686f16314
ACC539715bea8,DEV7b37b32109
ACC45b7bcc5b5,DEV99c2243554f
ACCb50af84fd8,DEV783c2ed3b2
ACC97288f4d34,DEVa1c20e872c
ACC96b34ed54b,DEV9c0f06a27
ACCd998758a8d,DEV2cdbf5cb3
ACC25297cbfe6,DEV96052d9cj8a
ACC0dd3073c91,DEV23fb5f6318
ACC827093b49d,DEV282ca5ec03
ACC332f3116e1,DEV2a5fa89ec2
ACCba85f25dc7,DEVc4c6081fd1
ACC22aad3eb8f,DEV4ff4efe792f
ACCd892ecbef0,DEVa62bd7481b
ACC5cd98fdaca,DEV9f1ecbd4d
ACCf519eb8c86,DEV319e64fb86e
ACC5bfd34d779,DEV07ae7b154f
ACC435a1714e0,DEV10f054c95
ACC553d365eec,DEVdae9b8ca4
ACCddffd5d023,DEVe69da3eb4b
ACCca8fcb002d,DEV53a624123a
ACC95f7e2852a,DEVfe50c27b83
ACCe6f0392fac,DEV9c253bc79c
ACC89287fbefa,DEV10e77c9f57
ACC06e60ab5cd,DEVb2543417ac
ACCdb7b7b9d78,DEVf4e931c3dc
ACC5478b32b6e,DEV7e72c6025f
ACC176353d5ef,DEV95325af393
ACCe8836bd434,DEV17e2a89c14
