ring_id,ring_type,member_count,formation_date,completion_date,first_clustered_date,first_flagged_date,dominant_cluster_id,risk_score_at_flag,detection_latency_days,total_fraud_orders,total_fraud_volume,incurred_orders_pre_flag,incurred_volume_pre_flag,protected_orders_counterfactual,protected_volume_counterfactual,counterfactual_protected_pct,flagged,pre_flag_fraud_volume,post_flag_fraud_volume,volume_prevented_pct
RING000,resource_sharing,33,2025-02-05,2026-01-21,2025-02-11,2025-02-11,12,0.3739,6,69,36990.53,0,0.0,69,36990.53,100.0,True,0.0,36990.53,100.0
RING001,resource_sharing,37,2024-09-01,2024-09-30,2024-10-01,2024-10-01,0,0.9523,30,80,52776.66,16,13564.49,64,39212.17,74.3,True,13564.49,39212.17,74.3
RING002,resource_sharing,8,2024-09-14,2025-03-30,2024-11-12,2025-03-25,16,0.5065,192,17,7668.68,4,1353.58,13,6315.1,82.3,True,1353.58,6315.1,82.3
RING003,resource_sharing,29,2024-11-05,2025-08-27,2025-01-14,2025-04-01,5,0.2971,147,55,33486.66,5,2888.78,50,30597.88,91.4,True,2888.78,30597.88,91.4
RING004,resource_sharing,23,2024-09-19,2025-02-10,2024-10-01,2024-10-01,10,0.6008,12,50,30080.45,1,1471.48,49,28608.97,95.1,True,1471.48,28608.97,95.1
RING005,resource_sharing,27,2024-09-08,2025-01-06,2024-10-01,2024-10-01,8,0.5288,23,51,29627.97,1,423.59,50,29204.38,98.6,True,423.59,29204.38,98.6
RING006,resource_sharing,29,2025-04-21,2026-02-14,2025-06-17,2025-06-17,22,0.3479,57,57,35299.88,2,2111.87,55,33188.01,94.0,True,2111.87,33188.01,94.0
RING007,resource_sharing,25,2024-09-10,2025-02-06,2024-10-01,2024-10-01,3,0.3935,21,54,31108.37,0,0.0,54,31108.37,100.0,True,0.0,31108.37,100.0
RING008,resource_sharing,16,2024-12-20,2026-02-06,2025-03-11,2025-08-05,22,0.3739,228,35,17920.47,4,1917.62,31,16002.85,89.3,True,1917.62,16002.85,89.3
RING009,resource_sharing,19,2024-09-13,2025-06-30,2024-10-01,2025-03-11,17,0.4836,179,35,19133.19,5,3007.13,30,16126.06,84.3,True,3007.13,16126.06,84.3
RING010,resource_sharing,28,2024-09-01,2024-11-30,2024-10-01,2024-10-01,4,0.5712,30,58,32700.34,3,2286.15,55,30414.19,93.0,True,2286.15,30414.19,93.0
RING011,resource_sharing,35,2024-09-02,2024-11-30,2024-10-01,2024-10-01,6,0.7623,29,63,37826.9,3,1521.16,60,36305.74,96.0,True,1521.16,36305.74,96.0
RING012,resource_sharing,10,2024-09-05,2025-02-08,2024-10-01,2025-02-04,12,0.4283,152,19,10724.22,4,1199.06,15,9525.16,88.8,True,1199.06,9525.16,88.8
RING013,resource_sharing,8,2025-06-12,2026-02-24,2025-10-28,2025-10-28,17,0.9785,138,16,6963.45,1,519.19,15,6444.26,92.5,True,519.19,6444.26,92.5
RING014,resource_sharing,26,2024-10-05,2025-11-09,2024-12-03,2025-03-04,19,0.3935,150,48,24355.35,7,4225.05,41,20130.3,82.7,True,4225.05,20130.3,82.7
RING015,resource_sharing,7,2024-12-30,2025-08-06,2025-07-29,2025-08-05,23,0.9816,218,17,6503.45,5,1900.19,12,4603.26,70.8,True,1900.19,4603.26,70.8
RING016,resource_sharing,23,2024-09-08,2025-06-23,2024-10-01,2025-02-25,12,0.1602,170,44,24122.22,6,3678.19,38,20444.03,84.8,True,3678.19,20444.03,84.8
RING017,resource_sharing,33,2024-09-01,2024-11-04,2024-10-01,2024-10-01,5,0.7142,30,68,39010.61,2,593.03,66,38417.58,98.5,True,593.03,38417.58,98.5
RING018,resource_sharing,29,2025-02-26,2026-04-01,2025-05-13,2025-07-15,14,0.5747,139,61,36053.64,5,3955.49,56,32098.15,89.0,True,3955.49,32098.15,89.0
RING019,resource_sharing,39,2024-09-17,2025-08-09,2024-10-01,2024-10-08,0,0.2717,21,78,41662.71,1,1019.28,77,40643.43,97.6,True,1019.28,40643.43,97.6
RREF000,referral_chain,16,2025-10-22,2025-12-01,2025-11-11,2025-11-18,44,0.9999,27,45,38322.38,0,0.0,45,38322.38,100.0,True,0.0,38322.38,100.0
RREF001,referral_chain,8,2025-03-08,2025-04-07,2025-04-01,2025-04-01,1,1.0,24,19,17537.2,0,0.0,19,17537.2,100.0,True,0.0,17537.2,100.0
RREF002,referral_chain,6,2025-07-26,2025-08-22,2025-08-12,2025-08-19,26,1.0,24,24,19667.42,2,1232.99,22,18434.43,93.7,True,1232.99,18434.43,93.7
RREF003,referral_chain,6,2025-05-18,2025-06-18,2025-05-27,2025-05-27,31,1.0,9,23,18668.7,0,0.0,23,18668.7,100.0,True,0.0,18668.7,100.0
RREF004,referral_chain,8,2025-05-18,2025-06-20,2025-06-03,2025-06-17,34,0.5465,30,19,14423.51,7,5199.37,12,9224.14,64.0,True,5199.37,9224.14,64.0
RREF005,referral_chain,10,2025-12-08,2026-01-11,2025-12-16,2025-12-16,49,1.0,8,28,26920.75,1,1793.98,27,25126.77,93.3,True,1793.98,25126.77,93.3
RREF006,referral_chain,9,2025-06-03,2025-07-20,2025-07-01,2025-07-01,10,0.9996,28,28,25838.21,1,878.61,27,24959.6,96.6,True,878.61,24959.6,96.6
RREF007,referral_chain,11,2025-10-21,2025-11-27,2025-10-28,2025-11-04,45,0.9896,14,20,15261.56,3,2809.02,17,12452.54,81.6,True,2809.02,12452.54,81.6
