model,fp_multiplier,best_threshold,n_flagged,total_cost,fp_cost,fn_cost
LogReg (pure graph),0.1,0.5022925821803761,19,444.3691331236338,444.3691331236338,0.0
LogReg (pure graph),0.5,0.5022925821803761,19,2221.845665618169,2221.845665618169,0.0
LogReg (pure graph),1.0,0.5022925821803761,19,4443.691331236338,4443.691331236338,0.0
LogReg (pure graph),2.0,0.5022925821803761,19,8887.382662472675,8887.382662472675,0.0
LogReg (pure graph),5.0,0.5022925821803761,19,22218.45665618169,22218.45665618169,0.0
LogReg (pure graph),10.0,0.5022925821803761,19,44436.91331236338,44436.91331236338,0.0
LogReg (pure graph),20.0,0.5022925821803761,19,88873.82662472676,88873.82662472676,0.0
LogReg (pure graph),50.0,0.5022925821803761,19,222184.5665618169,222184.5665618169,0.0
LogReg (pure graph),100.0,0.9901899898143556,9,311605.5366247268,88873.82662472676,222731.71000000002
XGBoost (pure graph),0.1,0.0529537424445152,21,1155.3597461214479,1155.3597461214479,0.0
XGBoost (pure graph),0.5,0.0529537424445152,21,5776.798730607239,5776.798730607239,0.0
XGBoost (pure graph),1.0,0.1102949529886245,18,10715.851331236338,4443.691331236338,6272.16
XGBoost (pure graph),2.0,0.1102949529886245,18,15159.542662472675,8887.382662472675,6272.16
XGBoost (pure graph),5.0,0.1102949529886245,18,28490.61665618169,22218.45665618169,6272.16
XGBoost (pure graph),10.0,0.1102949529886245,18,50709.07331236338,44436.91331236338,6272.16
XGBoost (pure graph),20.0,0.1102949529886245,18,95145.98662472676,88873.82662472676,6272.16
XGBoost (pure graph),50.0,0.1102949529886245,18,228456.7265618169,222184.5665618169,6272.16
XGBoost (pure graph),100.0,0.1102949529886245,18,450641.2931236338,444369.1331236338,6272.16
LogReg (full),0.1,0.6116064242285961,19,444.3691331236338,444.3691331236338,0.0
LogReg (full),0.5,0.6116064242285961,19,2221.845665618169,2221.845665618169,0.0
LogReg (full),1.0,0.6116064242285961,19,4443.691331236338,4443.691331236338,0.0
LogReg (full),2.0,0.6116064242285961,19,8887.382662472675,8887.382662472675,0.0
LogReg (full),5.0,0.6116064242285961,19,22218.45665618169,22218.45665618169,0.0
LogReg (full),10.0,0.6116064242285961,19,44436.91331236338,44436.91331236338,0.0
LogReg (full),20.0,0.6116064242285961,19,88873.82662472676,88873.82662472676,0.0
LogReg (full),50.0,0.6116064242285961,19,222184.5665618169,222184.5665618169,0.0
LogReg (full),100.0,0.991420556362425,9,311605.5366247268,88873.82662472676,222731.71000000002
XGBoost (full),0.1,0.0402814634144306,28,3021.7101052407097,3021.7101052407097,0.0
XGBoost (full),0.5,0.0951726883649826,18,8494.00566561817,2221.845665618169,6272.16
XGBoost (full),1.0,0.0951726883649826,18,10715.851331236338,4443.691331236338,6272.16
XGBoost (full),2.0,0.0951726883649826,18,15159.542662472675,8887.382662472675,6272.16
XGBoost (full),5.0,0.0951726883649826,18,28490.61665618169,22218.45665618169,6272.16
XGBoost (full),10.0,0.0951726883649826,18,50709.07331236338,44436.91331236338,6272.16
XGBoost (full),20.0,0.0951726883649826,18,95145.98662472676,88873.82662472676,6272.16
XGBoost (full),50.0,0.0951726883649826,18,228456.7265618169,222184.5665618169,6272.16
XGBoost (full),100.0,0.0951726883649826,18,450641.2931236338,444369.1331236338,6272.16
